pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff
F2-B2,F2,B2,0.265697,0.274470036234564,0.678899782321288,0.5347042181701468,33.5
F2-F1,F2,F1,0.448256,0.27930896126471466,0.6640038388314738,0.45776222167148867,3.9
F2-F2,F2,F2,0,0.2767316883306888,0.4932020011495,0.3185786261462219,0
F2-R1,F2,R1,0.396295,0.37376668185268785,0.6035813285385414,0.6065098253699185,7
F2-R2,F2,R2,0.301497,0.3075792984744668,0.520412215998438,0.40244896777329664,24
F2-U1,F2,U1,0.22885,0.34634005823213493,0.6577278940704397,0.4157173263749906,9.6
F2-U2,F2,U2,0.387089,0.35734282162408354,0.5966857833537895,0.44431582891019156,13.4
R1-B1,R1,B1,0.601512,0.45016894884833547,0.6386849867209891,0.69840532111011,9.2
R1-B2,R1,B2,0.568833,0.33411539690221137,0.7309667809233756,0.7149643255296491,40.3
R1-F1,R1,F1,0.598703,0.365203005513448,0.6601956502530464,0.5630910428192917,10.8
R1-F2,R1,F2,0.396295,0.37376668185268785,0.6035813285385414,0.6065098253699185,7
R1-R1,R1,R1,0,0.3433595940378514,0.5646860349950185,0.47746460326989837,0
R1-R2,R1,R2,0.422658,0.4084196074684968,0.575458210535409,0.6121777320535569,25.1
R1-U1,R1,U1,0.419481,0.3721905935672917,0.7139610623886641,0.6414783709946298,11.2
R1-U2,R1,U2,0.643139,0.40864054857753657,0.6209727414008033,0.6482691646063728,19.3
R2-B1,R2,B1,0.479374,0.5328504576105334,0.5313886108884271,0.527849286370081,24.2
R2-B2,R2,B2,0.428686,0.31543645542330817,0.6614583047455418,0.5239507851238993,45.5
R2-F1,R2,F1,0.531914,0.3000944130012716,0.677244266515271,0.46929219831391494,3.8
R2-F2,R2,F2,0.301497,0.3075792984744668,0.520412215998438,0.40244896777329664,24
R2-R1,R2,R1,0.422658,0.4084196074684968,0.575458210535409,0.6121777320535569,25.1
R2-R2,R2,R2,0,0.2515885284783937,0.3956692739963995,0.3015464833481526,0
R2-U1,R2,U1,0.321251,0.4067900154268759,0.7024579562246163,0.4337067117771497,14.6
R2-U2,R2,U2,0.521712,0.3534460751334761,0.5933085739784241,0.45936824986106645,34.5
U1-B1,U1,B1,0.402356,0.44356963211817424,0.6813813645744351,0.48914142023555274,10.2
U1-B2,U1,B2,0.378396,0.3060605077753783,0.6048349843934683,0.4482414497099848,37.9
U1-F1,U1,F1,0.459241,0.34308720528309816,0.7564038306098497,0.45536377839322906,9.7
U1-F2,U1,F2,0.22885,0.34634005823213493,0.6577278940704397,0.4157173263749906,9.6
U1-R1,U1,R1,0.419481,0.3721905935672917,0.7139610623886641,0.6414783709946298,11.2
U1-R2,U1,R2,0.321251,0.4067900154268759,0.7024579562246163,0.4337067117771497,14.6
U1-U1,U1,U1,0,0.3426845666789122,0.5039379968704115,0.2869926550434199,0
U1-U2,U1,U2,0.471687,0.40437034486892004,0.6207651829675179,0.3727951231884742,21.7
U2-B1,U2,B1,0.408897,0.40006811504034806,0.6090585673134982,0.4826920575261359,11.9
U2-B2,U2,B2,0.383128,0.31591580629893906,0.6590029950462897,0.46233057443253356,22.4
U2-F1,U2,F1,0.537825,0.3572752553627533,0.6619182972710771,0.4907330326744506,11.9
U2-F2,U2,F2,0.387089,0.35734282162408354,0.5966857833537895,0.44431582891019156,13.4
U2-R1,U2,R1,0.643139,0.40864054857753657,0.6209727414008033,0.6482691646063728,19.3
U2-R2,U2,R2,0.521712,0.3534460751334761,0.5933085739784241,0.45936824986106645,34.5
U2-U1,U2,U1,0.471687,0.40437034486892004,0.6207651829675179,0.3727951231884742,21.7
U2-U2,U2,U2,0,0.1856648313779338,0.4718078670291997,0.349150725316014,0
