pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff,taxon_level
R2-F2,R2,F2,0.301497,0.06260520196468293,0.24452155549966986,0.17361476280762003,24,Class
R2-R1,R2,R1,0.422658,0.0713112844808204,0.23621911337980567,0.4271655908671236,25.1,Class
R2-R2,R2,R2,0,0.07897903251084837,0.19514707691073988,0.1604806236184682,0,Class
R2-U1,R2,U1,0.321251,0.0735006085642658,0.37309377420008755,0.2247278572345305,14.6,Class
R2-U2,R2,U2,0.521712,0.06564214959948218,0.3113302566524241,0.256817418017321,34.5,Class
U1-B1,U1,B1,0.402356,0.05328412418283947,0.370839936345706,0.25102210642313333,10.2,Class
U1-B2,U1,B2,0.378396,0.057699814111390926,0.3219525888211649,0.2567639594642151,37.9,Class
U1-F1,U1,F1,0.459241,0.05226495160899108,0.4308242665166229,0.2991171005019173,9.7,Class
U1-F2,U1,F2,0.22885,0.051139142506841026,0.34653299960160105,0.2269519429346707,9.6,Class
U1-R1,U1,R1,0.419481,0.0599766191959795,0.4008175778088692,0.4881721593647657,11.2,Class
U1-R2,U1,R2,0.321251,0.0735006085642658,0.37309377420008755,0.2247278572345305,14.6,Class
U1-U1,U1,U1,0,0.06103751705393774,0.2912670180317402,0.16979554759978768,0,Class
U1-U2,U1,U2,0.471687,0.05890413592568134,0.3471690086767586,0.21514719960092177,21.7,Class
U2-B1,U2,B1,0.408897,0.04461030281985342,0.3454372583890503,0.2642719713705663,11.9,Class
U2-B2,U2,B2,0.383128,0.06185270667347846,0.3548894079439701,0.2731305108568986,22.4,Class
U2-F1,U2,F1,0.537825,0.03486398214370577,0.3688861281067931,0.31295540716347603,11.9,Class
U2-F2,U2,F2,0.387089,0.041753431065324684,0.30882203179488027,0.2532236548011351,13.4,Class
U2-R1,U2,R1,0.643139,0.05394743404602032,0.32717476088812936,0.44744241098582627,19.3,Class
U2-R2,U2,R2,0.521712,0.06564214959948218,0.3113302566524241,0.256817418017321,34.5,Class
U2-U1,U2,U1,0.471687,0.05890413592568134,0.3471690086767586,0.21514719960092177,21.7,Class
U2-U2,U2,U2,0,0.03920321705029264,0.29300199346377,0.22511235778366517,0,Class
B1-B1,B1,B1,0,0.23677503812472167,0.4884775173629695,0.37547705161507344,0,Order
B1-B2,B1,B2,0.258282,0.34443715357649773,0.5449356304654643,0.41592388755344695,31.2,Order
B1-F1,B1,F1,0.543824,0.4029414567634386,0.542618579013919,0.49314638318921,1.9,Order
B1-F2,B1,F2,0.261133,0.41114272200285085,0.49476618868951777,0.44958609452162446,2.3,Order
B1-R1,B1,R1,0.601512,0.386554929204319,0.515448452546931,0.5872467215182556,9.2,Order
B1-R2,B1,R2,0.479374,0.5024153573100991,0.4561928766730601,0.4377002431251471,24.2,Order
B1-U1,B1,U1,0.402356,0.35643471003095367,0.5698587729088835,0.41896231515555155,10.2,Order
B1-U2,B1,U2,0.408897,0.30107540614182354,0.48080671946217785,0.4128703275300673,11.9,Order
B2-B1,B2,B1,0.258282,0.34443715357649773,0.5449356304654643,0.41592388755344695,31.2,Order
B2-B2,B2,B2,0,0.20199537381783683,0.4109974730167846,0.3504464039291378,0,Order
B2-F1,B2,F1,0.515139,0.26233153633406725,0.6841618989836671,0.5230927513206214,30.2,Order
B2-F2,B2,F2,0.265697,0.25751284850422895,0.5805486948817944,0.4766427297839856,33.5,Order
B2-R1,B2,R1,0.568833,0.3143752354960722,0.6369931742655798,0.643414231662397,40.3,Order
B2-R2,B2,R2,0.428686,0.29272092388801296,0.5587362039702883,0.44878445342114,45.5,Order
B2-U1,B2,U1,0.378396,0.2887737427019301,0.4899141065325678,0.39146981716747786,37.9,Order
B2-U2,B2,U2,0.383128,0.19290484069572902,0.5448032887925807,0.39932791136566254,22.4,Order
F1-B1,F1,B1,0.543824,0.4029414567634386,0.542618579013919,0.49314638318921,1.9,Order
F1-B2,F1,B2,0.515139,0.26233153633406725,0.6841618989836671,0.5230927513206214,30.2,Order
F1-F1,F1,F1,0,0.2581417683592666,0.44268336372545464,0.34664866850658216,0,Order
F1-F2,F1,F2,0.448256,0.27115965698959826,0.48536609924966095,0.3651553433710393,3.9,Order
F1-R1,F1,R1,0.598703,0.34993224527812467,0.48301775346149217,0.4851461970241605,10.8,Order
F1-R2,F1,R2,0.531914,0.2773134519520508,0.4480543213211603,0.38254654431552665,3.8,Order
F1-U1,F1,U1,0.459241,0.3336171083361616,0.6821731565752055,0.3877462572713724,9.7,Order
F1-U2,F1,U2,0.537825,0.2503318685894589,0.5230975103812578,0.42366088661543516,11.9,Order
F2-B1,F2,B1,0.261133,0.41114272200285085,0.49476618868951777,0.44958609452162446,2.3,Order
F2-B2,F2,B2,0.265697,0.25751284850422895,0.5805486948817944,0.4766427297839856,33.5,Order
F2-F1,F2,F1,0.448256,0.27115965698959826,0.48536609924966095,0.3651553433710393,3.9,Order
F2-F2,F2,F2,0,0.26573220643090856,0.41176591963478226,0.25205628843393335,0,Order
F2-R1,F2,R1,0.396295,0.3535420517931132,0.4662142114391565,0.502979179472159,7,Order
F2-R2,F2,R2,0.301497,0.2841768522009275,0.4101729875452824,0.31436228523866516,24,Order
F2-U1,F2,U1,0.22885,0.3345439568838832,0.5673306901419605,0.3488759608104701,9.6,Order
F2-U2,F2,U2,0.387089,0.25743947589631977,0.4649230721624526,0.38781993034430984,13.4,Order
R1-B1,R1,B1,0.601512,0.386554929204319,0.515448452546931,0.5872467215182556,9.2,Order
R1-B2,R1,B2,0.568833,0.3143752354960722,0.6369931742655798,0.643414231662397,40.3,Order
R1-F1,R1,F1,0.598703,0.34993224527812467,0.48301775346149217,0.4851461970241605,10.8,Order
R1-F2,R1,F2,0.396295,0.3535420517931132,0.4662142114391565,0.502979179472159,7,Order
R1-R1,R1,R1,0,0.3289108036941051,0.42507091856681634,0.3396892445780007,0,Order
R1-R2,R1,R2,0.422658,0.37814602308364165,0.42588644617337684,0.5296363030969662,25.1,Order
R1-U1,R1,U1,0.419481,0.35630333159825306,0.628538675114894,0.566766559175183,11.2,Order
R1-U2,R1,U2,0.643139,0.3150198211753577,0.47776827961459173,0.5743239417718722,19.3,Order
R2-B1,R2,B1,0.479374,0.5024153573100991,0.4561928766730601,0.4377002431251471,24.2,Order
R2-B2,R2,B2,0.428686,0.29272092388801296,0.5587362039702883,0.44878445342114,45.5,Order
R2-F1,R2,F1,0.531914,0.2773134519520508,0.4480543213211603,0.38254654431552665,3.8,Order
R2-F2,R2,F2,0.301497,0.2841768522009275,0.4101729875452824,0.31436228523866516,24,Order
R2-R1,R2,R1,0.422658,0.37814602308364165,0.42588644617337684,0.5296363030969662,25.1,Order
R2-R2,R2,R2,0,0.24194833225340123,0.33192738619370504,0.24916930558927858,0,Order
R2-U1,R2,U1,0.321251,0.3772951018386203,0.5725907514747004,0.3501007187933976,14.6,Order
R2-U2,R2,U2,0.521712,0.30716638808560337,0.4148721848684646,0.3829216614174444,34.5,Order
U1-B1,U1,B1,0.402356,0.35643471003095367,0.5698587729088835,0.41896231515555155,10.2,Order
U1-B2,U1,B2,0.378396,0.2887737427019301,0.4899141065325678,0.39146981716747786,37.9,Order
U1-F1,U1,F1,0.459241,0.3336171083361616,0.6821731565752055,0.3877462572713724,9.7,Order
U1-F2,U1,F2,0.22885,0.3345439568838832,0.5673306901419605,0.3488759608104701,9.6,Order
U1-R1,U1,R1,0.419481,0.35630333159825306,0.628538675114894,0.566766559175183,11.2,Order
U1-R2,U1,R2,0.321251,0.3772951018386203,0.5725907514747004,0.3501007187933976,14.6,Order
U1-U1,U1,U1,0,0.33341252201218846,0.41925918752339464,0.24304935146380818,0,Order
U1-U2,U1,U2,0.471687,0.2764621619628797,0.5264644115734216,0.31601521961015694,21.7,Order
U2-B1,U2,B1,0.408897,0.30107540614182354,0.48080671946217785,0.4128703275300673,11.9,Order
U2-B2,U2,B2,0.383128,0.19290484069572902,0.5448032887925807,0.39932791136566254,22.4,Order
U2-F1,U2,F1,0.537825,0.2503318685894589,0.5230975103812578,0.42366088661543516,11.9,Order
U2-F2,U2,F2,0.387089,0.25743947589631977,0.4649230721624526,0.38781993034430984,13.4,Order
U2-R1,U2,R1,0.643139,0.3150198211753577,0.47776827961459173,0.5743239417718722,19.3,Order
U2-R2,U2,R2,0.521712,0.30716638808560337,0.4148721848684646,0.3829216614174444,34.5,Order
U2-U1,U2,U1,0.471687,0.2764621619628797,0.5264644115734216,0.31601521961015694,21.7,Order
U2-U2,U2,U2,0,0.1194707810017284,0.3538637486074613,0.3094350495490062,0,Order
B1-B1,B1,B1,0,0.3552367548701197,0.5399740616707289,0.4452399168066873,0,Family
B1-B2,B1,B2,0.258282,0.41610196732221577,0.645766120149006,0.4862768766597257,31.2,Family
B1-F1,B1,F1,0.543824,0.4676363040399805,0.7206181334848165,0.5929264239139499,1.9,Family
B1-F2,B1,F2,0.261133,0.47968911635972755,0.5937382318349138,0.5248927604023006,2.3,Family
B1-R1,B1,R1,0.601512,0.45016894884833547,0.6386849867209891,0.69840532111011,9.2,Family
B1-R2,B1,R2,0.479374,0.5328504576105334,0.5313886108884271,0.527849286370081,24.2,Family
B1-U1,B1,U1,0.402356,0.44356963211817424,0.6813813645744351,0.48914142023555274,10.2,Family
B1-U2,B1,U2,0.408897,0.40006811504034806,0.6090585673134982,0.4826920575261359,11.9,Family
B2-B1,B2,B1,0.258282,0.41610196732221577,0.645766120149006,0.4862768766597257,31.2,Family
B2-B2,B2,B2,0,0.2221031536346806,0.5178753520467912,0.40061520368375864,0,Family
B2-F1,B2,F1,0.515139,0.2749212950178312,0.7757133691187116,0.5911407097268662,30.2,Family
B2-F2,B2,F2,0.265697,0.274470036234564,0.678899782321288,0.5347042181701468,33.5,Family
B2-R1,B2,R1,0.568833,0.33411539690221137,0.7309667809233756,0.7149643255296491,40.3,Family
B2-R2,B2,R2,0.428686,0.31543645542330817,0.6614583047455418,0.5239507851238993,45.5,Family
B2-U1,B2,U1,0.378396,0.3060605077753783,0.6048349843934683,0.4482414497099848,37.9,Family
B2-U2,B2,U2,0.383128,0.31591580629893906,0.6590029950462897,0.46233057443253356,22.4,Family
F1-B1,F1,B1,0.543824,0.4676363040399805,0.7206181334848165,0.5929264239139499,1.9,Family
F1-B2,F1,B2,0.515139,0.2749212950178312,0.7757133691187116,0.5911407097268662,30.2,Family
F1-F1,F1,F1,0,0.2632260804931784,0.585935252824923,0.3944280103537157,0,Family
F1-F2,F1,F2,0.448256,0.27930896126471466,0.6640038388314738,0.45776222167148867,3.9,Family
F1-R1,F1,R1,0.598703,0.365203005513448,0.6601956502530464,0.5630910428192917,10.8,Family
F1-R2,F1,R2,0.531914,0.3000944130012716,0.677244266515271,0.46929219831391494,3.8,Family
F1-U1,F1,U1,0.459241,0.34308720528309816,0.7564038306098497,0.45536377839322906,9.7,Family
F1-U2,F1,U2,0.537825,0.3572752553627533,0.6619182972710771,0.4907330326744506,11.9,Family
F2-B1,F2,B1,0.261133,0.47968911635972755,0.5937382318349138,0.5248927604023006,2.3,Family
F2-B2,F2,B2,0.265697,0.274470036234564,0.678899782321288,0.5347042181701468,33.5,Family
F2-F1,F2,F1,0.448256,0.27930896126471466,0.6640038388314738,0.45776222167148867,3.9,Family
F2-F2,F2,F2,0,0.2767316883306888,0.4932020011495,0.3185786261462219,0,Family
F2-R1,F2,R1,0.396295,0.37376668185268785,0.6035813285385414,0.6065098253699185,7,Family
F2-R2,F2,R2,0.301497,0.3075792984744668,0.520412215998438,0.40244896777329664,24,Family
F2-U1,F2,U1,0.22885,0.34634005823213493,0.6577278940704397,0.4157173263749906,9.6,Family
F2-U2,F2,U2,0.387089,0.35734282162408354,0.5966857833537895,0.44431582891019156,13.4,Family
R1-B1,R1,B1,0.601512,0.45016894884833547,0.6386849867209891,0.69840532111011,9.2,Family
R1-B2,R1,B2,0.568833,0.33411539690221137,0.7309667809233756,0.7149643255296491,40.3,Family
R1-F1,R1,F1,0.598703,0.365203005513448,0.6601956502530464,0.5630910428192917,10.8,Family
R1-F2,R1,F2,0.396295,0.37376668185268785,0.6035813285385414,0.6065098253699185,7,Family
R1-R1,R1,R1,0,0.3433595940378514,0.5646860349950185,0.47746460326989837,0,Family
R1-R2,R1,R2,0.422658,0.4084196074684968,0.575458210535409,0.6121777320535569,25.1,Family
R1-U1,R1,U1,0.419481,0.3721905935672917,0.7139610623886641,0.6414783709946298,11.2,Family
R1-U2,R1,U2,0.643139,0.40864054857753657,0.6209727414008033,0.6482691646063728,19.3,Family
R2-B1,R2,B1,0.479374,0.5328504576105334,0.5313886108884271,0.527849286370081,24.2,Family
R2-B2,R2,B2,0.428686,0.31543645542330817,0.6614583047455418,0.5239507851238993,45.5,Family
R2-F1,R2,F1,0.531914,0.3000944130012716,0.677244266515271,0.46929219831391494,3.8,Family
R2-F2,R2,F2,0.301497,0.3075792984744668,0.520412215998438,0.40244896777329664,24,Family
R2-R1,R2,R1,0.422658,0.4084196074684968,0.575458210535409,0.6121777320535569,25.1,Family
R2-R2,R2,R2,0,0.2515885284783937,0.3956692739963995,0.3015464833481526,0,Family
R2-U1,R2,U1,0.321251,0.4067900154268759,0.7024579562246163,0.4337067117771497,14.6,Family
R2-U2,R2,U2,0.521712,0.3534460751334761,0.5933085739784241,0.45936824986106645,34.5,Family
U1-B1,U1,B1,0.402356,0.44356963211817424,0.6813813645744351,0.48914142023555274,10.2,Family
U1-B2,U1,B2,0.378396,0.3060605077753783,0.6048349843934683,0.4482414497099848,37.9,Family
U1-F1,U1,F1,0.459241,0.34308720528309816,0.7564038306098497,0.45536377839322906,9.7,Family
U1-F2,U1,F2,0.22885,0.34634005823213493,0.6577278940704397,0.4157173263749906,9.6,Family
U1-R1,U1,R1,0.419481,0.3721905935672917,0.7139610623886641,0.6414783709946298,11.2,Family
U1-R2,U1,R2,0.321251,0.4067900154268759,0.7024579562246163,0.4337067117771497,14.6,Family
U1-U1,U1,U1,0,0.3426845666789122,0.5039379968704115,0.2869926550434199,0,Family
U1-U2,U1,U2,0.471687,0.40437034486892004,0.6207651829675179,0.3727951231884742,21.7,Family
U2-B1,U2,B1,0.408897,0.40006811504034806,0.6090585673134982,0.4826920575261359,11.9,Family
U2-B2,U2,B2,0.383128,0.31591580629893906,0.6590029950462897,0.46233057443253356,22.4,Family
U2-F1,U2,F1,0.537825,0.3572752553627533,0.6619182972710771,0.4907330326744506,11.9,Family
U2-F2,U2,F2,0.387089,0.35734282162408354,0.5966857833537895,0.44431582891019156,13.4,Family
U2-R1,U2,R1,0.643139,0.40864054857753657,0.6209727414008033,0.6482691646063728,19.3,Family
U2-R2,U2,R2,0.521712,0.3534460751334761,0.5933085739784241,0.45936824986106645,34.5,Family
U2-U1,U2,U1,0.471687,0.40437034486892004,0.6207651829675179,0.3727951231884742,21.7,Family
U2-U2,U2,U2,0,0.1856648313779338,0.4718078670291997,0.349150725316014,0,Family
B1-B1,B1,B1,0,0.3557141691202686,0.5961961147568561,0.5479383681387133,0,Genus
B1-B2,B1,B2,0.258282,0.41642049841362927,0.7447551354158406,0.5997961819837823,31.2,Genus
B1-F1,B1,F1,0.543824,0.46846987423712827,0.7743384791230417,0.7193986431715131,1.9,Genus
B1-F2,B1,F2,0.261133,0.4828355498825536,0.671754132192066,0.6453899672982703,2.3,Genus
B1-R1,B1,R1,0.601512,0.4504553660453273,0.6903968482812947,0.7863937005819546,9.2,Genus
B1-R2,B1,R2,0.479374,0.5363378188892588,0.6120494062292412,0.6555608932528468,24.2,Genus
B1-U1,B1,U1,0.402356,0.4438962951714382,0.7818340885179119,0.6303859591918001,10.2,Genus
B1-U2,B1,U2,0.408897,0.40059416210011334,0.6724252203119824,0.6147124922413183,11.9,Genus
B2-B1,B2,B1,0.258282,0.41642049841362927,0.7447551354158406,0.5997961819837823,31.2,Genus
B2-B2,B2,B2,0,0.22215781525143452,0.616080587503198,0.49663578977348205,0,Genus
B2-F1,B2,F1,0.515139,0.2754876813371233,0.8536487206031348,0.7191159023256255,30.2,Genus
B2-F2,B2,F2,0.265697,0.27717599234490303,0.7942190281024072,0.6432215069699446,33.5,Genus
B2-R1,B2,R1,0.568833,0.33418363777571464,0.7922841546112983,0.7982883126050576,40.3,Genus
B2-R2,B2,R2,0.428686,0.3189940646180197,0.7683614768158874,0.6393606439571667,45.5,Genus
B2-U1,B2,U1,0.378396,0.3061771562427723,0.7617289636487786,0.5986990650137833,37.9,Genus
B2-U2,B2,U2,0.383128,0.3163286202316002,0.7458383430040307,0.5987233422201161,22.4,Genus
F1-B1,F1,B1,0.543824,0.46846987423712827,0.7743384791230417,0.7193986431715131,1.9,Genus
F1-B2,F1,B2,0.515139,0.2754876813371233,0.8536487206031348,0.7191159023256255,30.2,Genus
F1-F1,F1,F1,0,0.2639920987502364,0.6026644329987101,0.45251189321803925,0,Genus
F1-F2,F1,F2,0.448256,0.2815952819629145,0.6946529357456367,0.5480242704248957,3.9,Genus
F1-R1,F1,R1,0.598703,0.36565031606548376,0.6969063698075895,0.6323659088616457,10.8,Genus
F1-R2,F1,R2,0.531914,0.30318149678280976,0.7175450260631477,0.578918284109574,3.8,Genus
F1-U1,F1,U1,0.459241,0.34389783713034966,0.8098181874363362,0.5442795263703392,9.7,Genus
F1-U2,F1,U2,0.537825,0.3581358983350667,0.7012709870397504,0.5646819498940696,11.9,Genus
F2-B1,F2,B1,0.261133,0.4828355498825536,0.671754132192066,0.6453899672982703,2.3,Genus
F2-B2,F2,B2,0.265697,0.27717599234490303,0.7942190281024072,0.6432215069699446,33.5,Genus
F2-F1,F2,F1,0.448256,0.2815952819629145,0.6946529357456367,0.5480242704248957,3.9,Genus
