pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff
R1-B2,R1,B2,0.568833,0.33418363777571464,0.7922841546112983,0.7982883126050576,40.3
R1-F1,R1,F1,0.598703,0.36565031606548376,0.6969063698075895,0.6323659088616457,10.8
R1-F2,R1,F2,0.396295,0.3755455064358245,0.6613458686357757,0.6760166788668065,7
R1-R1,R1,R1,0,0.3434261047491209,0.5974493336033814,0.539271435398023,0
R1-R2,R1,R2,0.422658,0.4112460785349461,0.6337203430901824,0.6820905249126291,25.1
R1-U1,R1,U1,0.419481,0.3723394385437232,0.7832109617064117,0.7123345171038433,11.2
R1-U2,R1,U2,0.643139,0.40907033085288846,0.670687130604461,0.7120257921051367,19.3
R2-B1,R2,B1,0.479374,0.5363378188892588,0.6120494062292412,0.6555608932528468,24.2
R2-B2,R2,B2,0.428686,0.3189940646180197,0.7683614768158874,0.6393606439571667,45.5
R2-F1,R2,F1,0.531914,0.30318149678280976,0.7175450260631477,0.578918284109574,3.8
R2-F2,R2,F2,0.301497,0.3115834645054701,0.5740399667603444,0.49814677369148813,24
R2-R1,R2,R1,0.422658,0.4112460785349461,0.6337203430901824,0.6820905249126291,25.1
R2-R2,R2,R2,0,0.25416651680017993,0.42218959404345247,0.3776909792235191,0
R2-U1,R2,U1,0.321251,0.41044627918493204,0.7999238765581218,0.5697816400878905,14.6
R2-U2,R2,U2,0.521712,0.3568069585591964,0.6478010080997189,0.5668014548304117,34.5
U1-B1,U1,B1,0.402356,0.4438962951714382,0.7818340885179119,0.6303859591918001,10.2
U1-B2,U1,B2,0.378396,0.3061771562427723,0.7617289636487786,0.5986990650137833,37.9
U1-F1,U1,F1,0.459241,0.34389783713034966,0.8098181874363362,0.5442795263703392,9.7
U1-F2,U1,F2,0.22885,0.34947841392369733,0.7509980316484943,0.5173097734575541,9.6
U1-R1,U1,R1,0.419481,0.3723394385437232,0.7832109617064117,0.7123345171038433,11.2
U1-R2,U1,R2,0.321251,0.41044627918493204,0.7999238765581218,0.5697816400878905,14.6
U1-U1,U1,U1,0,0.3428786127443078,0.5904445895098934,0.35725900894212026,0
U1-U2,U1,U2,0.471687,0.404815145454817,0.7051667178639737,0.4528369160327264,21.7
U2-B1,U2,B1,0.408897,0.40059416210011334,0.6724252203119824,0.6147124922413183,11.9
U2-B2,U2,B2,0.383128,0.3163286202316002,0.7458383430040307,0.5987233422201161,22.4
U2-F1,U2,F1,0.537825,0.3581358983350667,0.7012709870397504,0.5646819498940696,11.9
U2-F2,U2,F2,0.387089,0.3587799272494405,0.6603264452648102,0.5265707247997254,13.4
U2-R1,U2,R1,0.643139,0.40907033085288846,0.670687130604461,0.7120257921051367,19.3
U2-R2,U2,R2,0.521712,0.3568069585591964,0.6478010080997189,0.5668014548304117,34.5
U2-U1,U2,U1,0.471687,0.404815145454817,0.7051667178639737,0.4528369160327264,21.7
U2-U2,U2,U2,0,0.18619628601305616,0.5197914228133278,0.40635591943522065,0
