pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff
F1-R1,F1,R1,0.598703,0.34993224527812467,0.48301775346149217,0.4851461970241605,10.8
F1-R2,F1,R2,0.531914,0.2773134519520508,0.4480543213211603,0.38254654431552665,3.8
F1-U1,F1,U1,0.459241,0.3336171083361616,0.6821731565752055,0.3877462572713724,9.7
F1-U2,F1,U2,0.537825,0.2503318685894589,0.5230975103812578,0.42366088661543516,11.9
F2-B1,F2,B1,0.261133,0.41114272200285085,0.49476618868951777,0.44958609452162446,2.3
F2-B2,F2,B2,0.265697,0.25751284850422895,0.5805486948817944,0.4766427297839856,33.5
F2-F1,F2,F1,0.448256,0.27115965698959826,0.48536609924966095,0.3651553433710393,3.9
F2-F2,F2,F2,0,0.26573220643090856,0.41176591963478226,0.25205628843393335,0
F2-R1,F2,R1,0.396295,0.3535420517931132,0.4662142114391565,0.502979179472159,7
F2-R2,F2,R2,0.301497,0.2841768522009275,0.4101729875452824,0.31436228523866516,24
F2-U1,F2,U1,0.22885,0.3345439568838832,0.5673306901419605,0.3488759608104701,9.6
F2-U2,F2,U2,0.387089,0.25743947589631977,0.4649230721624526,0.38781993034430984,13.4
R1-B1,R1,B1,0.601512,0.386554929204319,0.515448452546931,0.5872467215182556,9.2
R1-B2,R1,B2,0.568833,0.3143752354960722,0.6369931742655798,0.643414231662397,40.3
R1-F1,R1,F1,0.598703,0.34993224527812467,0.48301775346149217,0.4851461970241605,10.8
R1-F2,R1,F2,0.396295,0.3535420517931132,0.4662142114391565,0.502979179472159,7
R1-R1,R1,R1,0,0.3289108036941051,0.42507091856681634,0.3396892445780007,0
R1-R2,R1,R2,0.422658,0.37814602308364165,0.42588644617337684,0.5296363030969662,25.1
R1-U1,R1,U1,0.419481,0.35630333159825306,0.628538675114894,0.566766559175183,11.2
R1-U2,R1,U2,0.643139,0.3150198211753577,0.47776827961459173,0.5743239417718722,19.3
R2-B1,R2,B1,0.479374,0.5024153573100991,0.4561928766730601,0.4377002431251471,24.2
R2-B2,R2,B2,0.428686,0.29272092388801296,0.5587362039702883,0.44878445342114,45.5
R2-F1,R2,F1,0.531914,0.2773134519520508,0.4480543213211603,0.38254654431552665,3.8
R2-F2,R2,F2,0.301497,0.2841768522009275,0.4101729875452824,0.31436228523866516,24
R2-R1,R2,R1,0.422658,0.37814602308364165,0.42588644617337684,0.5296363030969662,25.1
R2-R2,R2,R2,0,0.24194833225340123,0.33192738619370504,0.24916930558927858,0
R2-U1,R2,U1,0.321251,0.3772951018386203,0.5725907514747004,0.3501007187933976,14.6
R2-U2,R2,U2,0.521712,0.30716638808560337,0.4148721848684646,0.3829216614174444,34.5
U1-B1,U1,B1,0.402356,0.35643471003095367,0.5698587729088835,0.41896231515555155,10.2
U1-B2,U1,B2,0.378396,0.2887737427019301,0.4899141065325678,0.39146981716747786,37.9
U1-F1,U1,F1,0.459241,0.3336171083361616,0.6821731565752055,0.3877462572713724,9.7
U1-F2,U1,F2,0.22885,0.3345439568838832,0.5673306901419605,0.3488759608104701,9.6
U1-R1,U1,R1,0.419481,0.35630333159825306,0.628538675114894,0.566766559175183,11.2
U1-R2,U1,R2,0.321251,0.3772951018386203,0.5725907514747004,0.3501007187933976,14.6
U1-U1,U1,U1,0,0.33341252201218846,0.41925918752339464,0.24304935146380818,0
U1-U2,U1,U2,0.471687,0.2764621619628797,0.5264644115734216,0.31601521961015694,21.7
U2-B1,U2,B1,0.408897,0.30107540614182354,0.48080671946217785,0.4128703275300673,11.9
U2-B2,U2,B2,0.383128,0.19290484069572902,0.5448032887925807,0.39932791136566254,22.4
U2-F1,U2,F1,0.537825,0.2503318685894589,0.5230975103812578,0.42366088661543516,11.9
U2-F2,U2,F2,0.387089,0.25743947589631977,0.4649230721624526,0.38781993034430984,13.4
U2-R1,U2,R1,0.643139,0.3150198211753577,0.47776827961459173,0.5743239417718722,19.3
U2-R2,U2,R2,0.521712,0.30716638808560337,0.4148721848684646,0.3829216614174444,34.5
U2-U1,U2,U1,0.471687,0.2764621619628797,0.5264644115734216,0.31601521961015694,21.7
U2-U2,U2,U2,0,0.1194707810017284,0.3538637486074613,0.3094350495490062,0
