sampleID	Seq_ID	label	well	plate	sample_id	population_id	population	site	habitat	humidity	light	type	spp
D205	D205	205	13	3	C.9R	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
D206	D206	206	14	3	C.10R	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
D207	D207	207	15	3	C.11R	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
D208	D208	208	16	3	C.12R	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
D209	D209	209	17	3	C.3XR	C	U1	Lund	urban	dry	exposed	root	Artemisia_vulgaris
D210	D210	210	18	3	C.4XR	C	U1	Lund	urban	dry	exposed	root	Artemisia_vulgaris
D211	D211	211	19	3	D.9R	D	R1	Borgeby	rural	wet	exposed	root	Solanum_dulcamara
D212	D212	212	20	3	D.10R	D	R1	Borgeby	rural	wet	exposed	root	Solanum_dulcamara
D213	D213	213	21	3	D.11R	D	R1	Borgeby	rural	wet	exposed	root	Solanum_dulcamara
D214	D214	214	22	3	D.12R	D	R1	Borgeby	rural	wet	exposed	root	Solanum_dulcamara
D215	D215	215	23	3	D.3XR	D	R1	Borgeby	rural	wet	exposed	root	Lysimachia_vulgaris
D216	D216	216	24	3	D.4XR	D	R1	Borgeby	rural	wet	exposed	root	Lysimachia_vulgaris
D217	D217	217	25	3	E.10R	E	B2	Kampinge	beach	dry	exposed	root	Solanum_dulcamara
D218	D218	218	26	3	E.11R	E	B2	Kampinge	beach	dry	exposed	root	Solanum_dulcamara
D219	D219	219	27	3	E.12R	E	B2	Kampinge	beach	dry	exposed	root	Solanum_dulcamara
D220	D220	220	28	3	E.3XR	E	B2	Kampinge	beach	dry	exposed	root	Artemisia_vulgaris
D221	D221	221	29	3	E.4XR	E	B2	Kampinge	beach	dry	exposed	root	Artemisia_vulgaris
D222	D222	222	30	3	F.10R	F	B1	Lomma_beach	beach	dry	exposed	root	Solanum_dulcamara
D223	D223	223	31	3	F.11R	F	B1	Lomma_beach	beach	dry	exposed	root	Solanum_dulcamara
D224	D224	224	32	3	F.12R	F	B1	Lomma_beach	beach	dry	exposed	root	Solanum_dulcamara
D225	D225	225	33	3	F.3XR	F	B1	Lomma_beach	beach	dry	exposed	root	Artemisia_vulgaris
D226	D226	226	34	3	F.4XR	F	B1	Lomma_beach	beach	dry	exposed	root	Artemisia_vulgaris
D227	D227	227	35	3	G.10R	G	R2	Tvedora	rural	wet	exposed	root	Solanum_dulcamara
D228	D228	228	36	3	G.11R	G	R2	Tvedora	rural	wet	exposed	root	Solanum_dulcamara
D229	D229	229	37	3	G.12R	G	R2	Tvedora	rural	wet	exposed	root	Solanum_dulcamara
D230	D230	230	38	3	G.3XR	G	R2	Tvedora	rural	wet	exposed	root	Lysimachia_vulgaris
D231	D231	231	39	3	G.4XR	G	R2	Tvedora	rural	wet	exposed	root	Lysimachia_vulgaris
D232	D232	232	40	3	H.10R	H	U2	Malmo	urban	dry	exposed	root	Solanum_dulcamara
D233	D233	233	41	3	H.3XR	H	U2	Malmo	urban	dry	exposed	root	Artemisia_vulgaris
D234	D234	234	42	3	H.4XR	H	U2	Malmo	urban	dry	exposed	root	Artemisia_vulgaris
